time (day)	h (ft)
4.256944456	1.409518
4.260416678	1.412689
4.2638889	1.415789
4.267361123	1.418141
4.270833345	1.423752
4.274305567	1.429706
4.277777789	1.430164
4.281250012	1.429706
4.284722234	1.432734
4.288194456	1.43576
4.291666678	1.439461
4.2951389	1.440686
4.298611123	1.443059
4.302083345	1.445991
4.305555567	1.452026
4.309027789	1.453289
4.312500012	1.457765
4.315972234	1.463947
4.319444456	1.469764
4.322916678	1.469108
4.3263889	1.474339
4.329861123	1.473831
4.333333345	1.47772
4.336805567	1.477402
4.340277789	1.486556
4.343750012	1.492155
4.347222234	1.495022
4.350694456	1.495022
4.354166678	1.497901
4.3576389	1.502171
4.361111123	1.50559
4.364583345	1.507601
4.368055567	1.51183
4.371527789	1.514688
4.375000012	1.51664
4.378472234	1.519687
4.381944456	1.524306
4.385416678	1.529976
4.3888889	1.534024
4.392361123	1.538687
4.395833345	1.53727
4.399305567	1.541011
4.402777789	1.544652
4.406250012	1.548588
4.409722234	1.548269
4.413194456	1.549802
4.416666678	1.556366
4.4201389	1.557887
4.423611123	1.562266
4.427083345	1.566253
4.430555567	1.564534
4.434027789	1.565415
4.437500012	1.569952
4.440972234	1.56957
4.444444456	1.576631
4.447916678	1.578787
4.4513889	1.579018
4.454861123	1.582212
4.458333345	1.581536
4.461805567	1.58381
4.465277789	1.585944
4.468750012	1.589357
4.472222234	1.59016
4.475694456	1.592278
4.479166678	1.594118
4.4826389	1.593777
4.486111123	1.595774
4.489583345	1.596681
4.493055567	1.596058
4.496527789	1.601906
4.500000012	1.603781
4.503472234	1.605902
4.506944456	1.606816
4.510416678	1.604157
4.5138889	1.607808
4.517361123	1.611595
4.520833345	1.609712
4.524305567	1.607604
4.527777789	1.60836
4.531250012	1.612743
4.534722234	1.611122
4.538194456	1.616461
4.541666678	1.609261
4.5451389	1.611203
4.548611123	1.61089
4.552083345	1.610719
4.555555567	1.615604
4.559027789	1.612869
4.562500012	1.614188
4.565972234	1.611555
4.569444456	1.614209
4.572916678	1.616385
4.5763889	1.611672
4.579861123	1.614871
4.583333345	1.61549
4.586805567	1.615987
4.590277789	1.612881
4.593750012	1.612426
4.597222234	1.612657
4.600694456	1.612982
4.604166678	1.616533
4.6076389	1.613243
4.611111123	1.616054
4.614583345	1.61326
4.618055567	1.6121
4.621527789	1.613015
4.625000012	1.611383
4.628472234	1.608369
4.631944456	1.611632
4.635416678	1.610894
4.6388889	1.612564
4.642361123	1.609672
4.645833345	1.608108
4.649305567	1.606716
